time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1994-03-04T22:01:48.800Z,34.39,-118.627,15.8,2.9,ml,0,26.1,,0.226,ci,ci3156667,2016-02-12T02:30:27.359Z,"9km SW of Valencia, California",earthquake,,0.249,,22,reviewed,ci,ci
1994-03-04T16:35:17.650Z,33.448,-118.248,5.788,2.8,ml,0,143.7,,0.313,ci,ci3156620,2016-02-13T01:12:11.643Z,"14km NNE of Avalon, California",earthquake,,,,19,reviewed,ci,ci
1994-03-03T17:34:33.740Z,33.93,-118.207,14.849,2.8,ml,0,128.7,,0.187,ci,ci3156225,2016-02-13T03:44:05.917Z,"0km E of Lynwood, California",earthquake,,0.22,,6,reviewed,ci,ci
1994-03-03T09:53:50.020Z,34.379,-118.492,-0.031,2.98,ml,0,21.1,,0.3,ci,ci3156198,2016-02-12T14:59:15.043Z,"4km SSE of Santa Clarita, California",earthquake,,0.167,,26,reviewed,ci,ci
1994-03-03T08:41:20.010Z,34.342,-118.46,4.139,2.57,ml,0,27.2,,0.263,ci,ci3156162,2016-02-12T07:19:54.941Z,"7km NNW of Pacoima, California",earthquake,,0.065,,22,reviewed,ci,ci
1994-03-02T20:06:03.670Z,34.202,-118.613,2.331,3.15,ml,0,37,,0.365,ci,ci2151869,2016-02-12T17:33:48.165Z,"1km WNW of Canoga Park, California",earthquake,,0.147,,15,reviewed,ci,ci
1994-03-02T12:50:16.220Z,34.246,-118.482,13.991,2.62,ml,0,26.1,,0.314,ci,ci3156036,2016-02-12T14:59:07.912Z,"3km SSE of Granada Hills, California",earthquake,,0.185,,25,reviewed,ci,ci
1994-02-27T12:01:42.770Z,34.164,-118.582,19.909,2.5,mc,0,193.4,0.1096,0.213,ci,ci3155761,2016-02-11T21:24:03.679Z,"2km ESE of Woodland Hills, California",earthquake,,1.456,,70,reviewed,ci,ci
1994-02-26T13:06:00.590Z,34.333,-118.744,14.115,2.5,ml,0,36.8,,0.194,ci,ci3155365,2016-02-12T02:29:37.456Z,"7km N of Simi Valley, California",earthquake,,0.163,,24,reviewed,ci,ci
1994-02-26T13:03:51.400Z,34.334,-118.733,13.774,2.76,ml,0,34,,0.254,ci,ci3155364,2016-02-12T20:07:56.694Z,"7km N of Simi Valley, California",earthquake,,0.156,,27,reviewed,ci,ci
