time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-12-20T12:07:13.170Z,34.695,-116.314,1.431,3.37,ml,51,88,,0.15,ci,ci3321716,2016-04-02T07:45:47.371Z,"14km WSW of Ludlow, CA",earthquake,0.14,0.33,0.14,77,reviewed,ci,ci
1999-12-20T12:05:54.930Z,34.692,-116.312,0.161,2.98,ml,0,73.6,,0.155,ci,ci9129969,2016-02-16T23:49:56.279Z,"14km WSW of Ludlow, California",earthquake,,0.359,,85,reviewed,ci,ci
1999-12-20T02:39:46.330Z,34.52,-116.27,-1.12,2.82,ml,0,136.2,,0.172,ci,ci9129933,2016-02-16T06:53:11.868Z,"24km SSW of Ludlow, California",earthquake,,2.486,,141,reviewed,ci,ci
1999-12-19T20:14:41.430Z,34.418,-116.47,2.18,2.76,ml,0,51.6,,0.156,ci,ci9129887,2016-02-17T07:02:43.689Z,"34km N of Yucca Valley, California",earthquake,,0.471,,3,reviewed,ci,ci
1999-12-18T15:20:33.970Z,34.305,-116.449,4.776,2.79,ml,0,26.3,,0.169,ci,ci9129710,2016-02-16T02:12:18.424Z,"21km N of Yucca Valley, California",earthquake,,,,156,reviewed,ci,ci
1999-12-18T03:48:22.520Z,34.5805,-116.2601667,0,2.58,ml,26,54,,0.17,ci,ci9129632,2016-04-01T19:58:37.756Z,"18km SSW of Ludlow, CA",earthquake,0.29,0.66,,137,reviewed,ci,ci
1999-12-18T03:41:41.820Z,34.992,-116.468,1.155,2.64,mc,0,146.2,0.1941,0.135,ci,ci3321717,2016-02-17T11:48:35.346Z,"36km SSE of Fort Irwin, California",earthquake,,1.714,,6,reviewed,ci,ci
1999-12-18T02:35:08.420Z,34.434,-116.286,10.171,2.8,mc,0,79.4,0.0332,0.218,ci,ci9129626,2016-02-17T02:16:22.946Z,"33km N of Joshua Tree, California",earthquake,,0.638,,6,reviewed,ci,ci
1999-12-17T21:37:16.730Z,34.8445,-116.3998333,3.701,2.53,ml,26,128,,0.17,ci,ci9129577,2016-04-01T23:13:46.692Z,"26km WNW of Ludlow, CA",earthquake,0.28,0.43,,133,reviewed,ci,ci
1999-12-17T20:09:14.830Z,33.34,-116.404,5.445,2.9,mc,0,116.5,0.4299,0.119,ci,ci9129558,2016-02-16T18:51:07.126Z,"10km NNW of Borrego Springs, California",earthquake,,,,7,reviewed,ci,ci
1999-12-16T20:29:24.950Z,33.2401657,-115.7028351,0.04,2.58,ml,0,175,0.09619,0.14,ci,ci9525417,2016-02-16T06:52:46.114Z,"12km SSE of Bombay Beach, California",earthquake,4.01,10.52,0.1,100,automatic,ci,ci
1999-12-15T18:30:18.840Z,34.45,-116.243,2.001,2.67,ml,0,67.5,,0.171,ci,ci9129159,2016-02-16T06:52:37.181Z,"31km SSW of Ludlow, California",earthquake,,0.347,,131,reviewed,ci,ci
1999-12-15T13:45:02.600Z,34.608,-116.282,2.029,3.02,ml,0,40.5,,0.204,ci,ci9129139,2016-04-02T00:48:22.699Z,"17km SW of Ludlow, CA",earthquake,,0.485,,177,reviewed,ci,ci
1999-12-15T11:38:08.380Z,34.6468333,-116.2856667,4.307,2.74,ml,26,84,,0.16,ci,ci9129117,2016-04-02T05:44:22.118Z,"14km SW of Ludlow, CA",earthquake,0.31,1.06,,151,reviewed,ci,ci
1999-12-15T06:52:05.480Z,34.335,-116.117,1.791,3.28,ml,0,46.4,,0.24,ci,ci3321650,2016-04-02T07:15:12.388Z,"22km N of Twentynine Palms, CA",earthquake,,0.332,,83,reviewed,ci,ci
1999-12-15T06:51:03.080Z,34.333,-116.113,1.991,3.27,ml,0,45.8,,0.197,ci,ci9129107,2016-04-02T16:51:35.498Z,"22km N of Twentynine Palms, CA",earthquake,,0.291,,113,reviewed,ci,ci
1999-12-15T06:29:48.130Z,34.101,-117.007,1.789,3.09,ml,0,18.3,,0.197,ci,ci9129102,2016-04-02T19:51:31.410Z,"8km NNE of Yucaipa, CA",earthquake,,0.15,,203,reviewed,ci,ci
1999-12-15T03:46:53.170Z,34.857,-116.39,5.88,3.12,ml,0,61.9,,0.178,ci,ci9129090,2016-04-02T00:50:23.406Z,"26km NW of Ludlow, CA",earthquake,,0.833,,193,reviewed,ci,ci
1999-12-15T02:59:29.260Z,34.45,-116.208,4.616,2.85,ml,0,42.9,,0.178,ci,ci9129085,2016-02-16T23:49:15.855Z,"30km S of Ludlow, California",earthquake,,0.318,,149,reviewed,ci,ci
1999-12-15T02:13:37.560Z,33.9685,-116.9546667,16.932,2.73,ml,85,21,,0.17,ci,ci9129078,2016-04-01T23:14:10.458Z,"5km NNE of Beaumont, CA",earthquake,0.14,0.38,0.15,67,reviewed,ci,ci
1999-12-15T00:22:07.990Z,34.405,-116.16,6.054,2.54,ml,0,65.4,,0.16,ci,ci9129051,2016-02-16T13:56:00.534Z,"31km NNW of Twentynine Palms, California",earthquake,,4.566,,109,reviewed,ci,ci
1999-12-14T16:56:48.370Z,34.696,-116.31,5.039,2.66,ml,0,105.2,0.1314,0.115,ci,ci9128966,2016-02-16T13:55:54.787Z,"14km WSW of Ludlow, California",earthquake,,28.195,,113,reviewed,ci,ci
1999-12-14T16:41:49.520Z,34.634,-116.224,2.389,2.67,ml,0,76.4,0.07721,0.148,ci,ci9128963,2016-02-16T21:20:17.490Z,"11km SSW of Ludlow, California",earthquake,,0.411,,115,reviewed,ci,ci
1999-12-14T08:08:29.190Z,34.787,-116.296,3.6,2.69,ml,0,125.9,0.05472,0.118,ci,ci9128923,2016-02-17T07:02:04.029Z,"14km WNW of Ludlow, California",earthquake,,0.348,,142,reviewed,ci,ci
1999-12-13T16:16:35.700Z,34.2533333,-116.431,2.198,2.67,mc,33,26,0.07451,0.21,ci,ci9128803,2016-04-02T05:43:48.004Z,"16km N of Yucca Valley, CA",earthquake,0.42,0.79,,49,reviewed,ci,ci
1999-12-13T14:03:35.790Z,34.1015,-117.0061667,4.701,2.66,mc,34,39,,0.17,ci,ci9128768,2016-04-02T15:18:34.848Z,"8km NNE of Yucaipa, CA",earthquake,0.27,31.61,0.163,0,reviewed,ci,ci
1999-12-13T13:51:56.350Z,34.8571667,-116.3995,4.331,2.88,ml,19,76,,0.16,ci,ci9128766,2016-04-02T02:30:04.131Z,"27km NW of Ludlow, CA",earthquake,0.39,0.7,,44,reviewed,ci,ci
1999-12-13T13:20:16.300Z,34.1013333,-117.0086667,2.021,3.81,ml,77,15,,0.18,ci,ci9128775,2016-04-02T05:43:46.559Z,"8km NNE of Yucaipa, CA",earthquake,0.2,0.45,0.197,195,reviewed,ci,ci
1999-12-13T05:47:38.090Z,34.389,-116.146,4.726,3.35,ml,0,47.7,,0.194,ci,ci9128729,2016-04-02T16:53:23.399Z,"29km NNW of Twentynine Palms, CA",earthquake,,1.912,,201,reviewed,ci,ci
1999-12-12T21:54:55.770Z,34.696,-116.358,1.931,2.6,ml,0,72.6,,0.184,ci,ci9128671,2016-02-16T23:48:56.815Z,"18km W of Ludlow, California",earthquake,,0.415,,138,reviewed,ci,ci
1999-12-12T01:23:05.910Z,34.581,-116.269,-0.053,2.57,ml,0,58.9,,0.172,ci,ci9128524,2016-02-16T06:52:09.911Z,"18km SSW of Ludlow, California",earthquake,,0.586,,122,reviewed,ci,ci
1999-12-12T00:20:54.110Z,34.449,-116.25,2.711,2.56,ml,0,59.1,,0.196,ci,ci9128530,2016-02-16T06:52:07.361Z,"31km SSW of Ludlow, California",earthquake,,0.252,,122,reviewed,ci,ci
1999-12-11T18:36:45.100Z,34.623,-116.257,4.909,2.56,ml,0,95.6,0.1056,0.107,ci,ci9128493,2016-02-17T07:01:42.727Z,"14km SW of Ludlow, California",earthquake,,48.562,,84,reviewed,ci,ci
1999-12-11T17:17:58.980Z,34.4285,-117.7581667,1.787,2.56,ml,50,24,,0.23,ci,ci9128488,2016-04-02T15:18:57.096Z,"8km SSE of Llano, CA",earthquake,0.26,0.44,,147,reviewed,ci,ci
1999-12-11T08:57:18.190Z,34.871,-116.397,3.62,3.09,ml,0,167,0.06394,0.128,ci,ci9128452,2016-04-01T21:33:04.311Z,"27km NW of Ludlow, CA",earthquake,,1.179,,63,reviewed,ci,ci
1999-12-11T08:56:48.810Z,34.858,-116.406,0.6,3.08,ml,0,129,,0.183,ci,ci9128463,2016-04-01T21:34:49.925Z,"27km NW of Ludlow, CA",earthquake,,0.371,,168,reviewed,ci,ci
1999-12-11T03:30:06.320Z,34.727,-116.307,4.439,2.62,ml,0,95.9,,0.145,ci,ci9128431,2016-02-16T11:33:04.917Z,"14km W of Ludlow, California",earthquake,,16.784,,127,reviewed,ci,ci
